,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
588,0.487,0.152,9,-20.265,1,0.053,0.959,0.638,0.322,0.237,110.946,audio_features,3O4Rl1D1MiLliQml4atM5D,spotify:track:3O4Rl1D1MiLliQml4atM5D,https://api.spotify.com/v1/tracks/3O4Rl1D1MiLliQml4atM5D,https://api.spotify.com/v1/audio-analysis/3O4Rl1D1MiLliQml4atM5D,236587,4
589,0.157,0.00899,6,-34.986,1,0.037,0.991,0.913,0.0846,0.0573,65.855,audio_features,5nyjJE5icW9rkqFGTZVhYR,spotify:track:5nyjJE5icW9rkqFGTZVhYR,https://api.spotify.com/v1/tracks/5nyjJE5icW9rkqFGTZVhYR,https://api.spotify.com/v1/audio-analysis/5nyjJE5icW9rkqFGTZVhYR,364440,4
590,0.309,0.0113,6,-23.97,0,0.0491,0.991,0.951,0.0851,0.0988,65.565,audio_features,0WuNhZkCPvfq1J9xtL4Yrz,spotify:track:0WuNhZkCPvfq1J9xtL4Yrz,https://api.spotify.com/v1/tracks/0WuNhZkCPvfq1J9xtL4Yrz,https://api.spotify.com/v1/audio-analysis/0WuNhZkCPvfq1J9xtL4Yrz,569467,4
591,0.368,0.0835,7,-22.504,1,0.0343,0.788,0.876,0.108,0.181,107.279,audio_features,5T6Y0sFRBDF2LxfGGo90Zc,spotify:track:5T6Y0sFRBDF2LxfGGo90Zc,https://api.spotify.com/v1/tracks/5T6Y0sFRBDF2LxfGGo90Zc,https://api.spotify.com/v1/audio-analysis/5T6Y0sFRBDF2LxfGGo90Zc,910492,3
592,0.2,0.0172,2,-28.806,1,0.0546,0.974,0.00102,0.113,0.0379,82.818,audio_features,1toCPmpNUnBXbgUEg7BTEk,spotify:track:1toCPmpNUnBXbgUEg7BTEk,https://api.spotify.com/v1/tracks/1toCPmpNUnBXbgUEg7BTEk,https://api.spotify.com/v1/audio-analysis/1toCPmpNUnBXbgUEg7BTEk,253200,4
593,0.514,0.0772,11,-21.076,1,0.0352,0.981,0.00306,0.0859,0.511,87.514,audio_features,7lCqzDWT6GPECGp0TzMnR7,spotify:track:7lCqzDWT6GPECGp0TzMnR7,https://api.spotify.com/v1/tracks/7lCqzDWT6GPECGp0TzMnR7,https://api.spotify.com/v1/audio-analysis/7lCqzDWT6GPECGp0TzMnR7,119200,4
594,0.273,0.0549,10,-24.156,1,0.0461,0.995,0.898,0.0807,0.054,78.521,audio_features,59JyhffzxORbdTQMJSYdlz,spotify:track:59JyhffzxORbdTQMJSYdlz,https://api.spotify.com/v1/tracks/59JyhffzxORbdTQMJSYdlz,https://api.spotify.com/v1/audio-analysis/59JyhffzxORbdTQMJSYdlz,358573,4
595,0.234,0.00382,6,-34.689,1,0.0405,0.996,0.885,0.091,0.155,68.332,audio_features,2XVPMHh86z4M8ghTw5xvxn,spotify:track:2XVPMHh86z4M8ghTw5xvxn,https://api.spotify.com/v1/tracks/2XVPMHh86z4M8ghTw5xvxn,https://api.spotify.com/v1/audio-analysis/2XVPMHh86z4M8ghTw5xvxn,112493,4
596,0.142,0.0379,7,-25.793,1,0.053,0.987,0.783,0.0846,0.0767,96.118,audio_features,1BIErb2Vkyllmjjrz651oC,spotify:track:1BIErb2Vkyllmjjrz651oC,https://api.spotify.com/v1/tracks/1BIErb2Vkyllmjjrz651oC,https://api.spotify.com/v1/audio-analysis/1BIErb2Vkyllmjjrz651oC,262000,3
597,0.177,0.0771,4,-14.749,1,0.046,0.905,0.581,0.106,0.0377,144.234,audio_features,25mDxI046ioWDZZgSF2MYT,spotify:track:25mDxI046ioWDZZgSF2MYT,https://api.spotify.com/v1/tracks/25mDxI046ioWDZZgSF2MYT,https://api.spotify.com/v1/audio-analysis/25mDxI046ioWDZZgSF2MYT,913336,4
