,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,user
10,0.412,0.00447,2,-41.052,0,0.0479,0.994,0.959,0.085,0.0726,66.479,audio_features,3ZWAtpmC9UdjIZtiZ2dwp0,spotify:track:3ZWAtpmC9UdjIZtiZ2dwp0,https://api.spotify.com/v1/tracks/3ZWAtpmC9UdjIZtiZ2dwp0,https://api.spotify.com/v1/audio-analysis/3ZWAtpmC9UdjIZtiZ2dwp0,83011,5,Stiafen
11,0.295,0.00799,7,-36.586,0,0.045,0.995,0.912,0.087,0.192,168.333,audio_features,24lh2z8T2suwGctBInqDkk,spotify:track:24lh2z8T2suwGctBInqDkk,https://api.spotify.com/v1/tracks/24lh2z8T2suwGctBInqDkk,https://api.spotify.com/v1/audio-analysis/24lh2z8T2suwGctBInqDkk,118160,4,Stiafen
12,0.351,0.00622,0,-33.286,0,0.0388,0.994,0.943,0.115,0.0794,66.921,audio_features,6cDytuMZ5Z4iMEhK65HiHL,spotify:track:6cDytuMZ5Z4iMEhK65HiHL,https://api.spotify.com/v1/tracks/6cDytuMZ5Z4iMEhK65HiHL,https://api.spotify.com/v1/audio-analysis/6cDytuMZ5Z4iMEhK65HiHL,223067,4,Stiafen
13,0.417,0.0363,7,-27.778,1,0.0648,0.995,0.922,0.12,0.166,76.779,audio_features,7FbicAUnYgtKmzRhozJWlC,spotify:track:7FbicAUnYgtKmzRhozJWlC,https://api.spotify.com/v1/tracks/7FbicAUnYgtKmzRhozJWlC,https://api.spotify.com/v1/audio-analysis/7FbicAUnYgtKmzRhozJWlC,193000,4,Stiafen
14,0.114,0.0158,0,-25.243,1,0.0351,0.902,0.824,0.257,0.0481,82.868,audio_features,6xEBSvLDWaFinm8v3NZQCX,spotify:track:6xEBSvLDWaFinm8v3NZQCX,https://api.spotify.com/v1/tracks/6xEBSvLDWaFinm8v3NZQCX,https://api.spotify.com/v1/audio-analysis/6xEBSvLDWaFinm8v3NZQCX,209000,5,Stiafen
15,0.235,0.00858,10,-35.138,0,0.0356,0.993,0.901,0.0947,0.0526,77.518,audio_features,5i2SrkKMPRSgKosCNhZG4G,spotify:track:5i2SrkKMPRSgKosCNhZG4G,https://api.spotify.com/v1/tracks/5i2SrkKMPRSgKosCNhZG4G,https://api.spotify.com/v1/audio-analysis/5i2SrkKMPRSgKosCNhZG4G,81893,3,Stiafen
16,0.29,0.0899,9,-26.046,0,0.047,0.937,0.698,0.105,0.156,90.888,audio_features,37oIGXkiR4MlM79w65rd02,spotify:track:37oIGXkiR4MlM79w65rd02,https://api.spotify.com/v1/tracks/37oIGXkiR4MlM79w65rd02,https://api.spotify.com/v1/audio-analysis/37oIGXkiR4MlM79w65rd02,547000,4,Stiafen
17,0.0897,0.135,4,-16.636,0,0.0423,0.928,0.795,0.227,0.0381,69.755,audio_features,1PKx2AJsW0KGbDh3oUbqv9,spotify:track:1PKx2AJsW0KGbDh3oUbqv9,https://api.spotify.com/v1/tracks/1PKx2AJsW0KGbDh3oUbqv9,https://api.spotify.com/v1/audio-analysis/1PKx2AJsW0KGbDh3oUbqv9,614653,3,Stiafen
18,0.1,0.0656,5,-23.678,0,0.0508,0.979,0.788,0.124,0.037,73.959,audio_features,74JmOn8oxrDI6msHDudTlm,spotify:track:74JmOn8oxrDI6msHDudTlm,https://api.spotify.com/v1/tracks/74JmOn8oxrDI6msHDudTlm,https://api.spotify.com/v1/audio-analysis/74JmOn8oxrDI6msHDudTlm,296373,3,Stiafen
19,0.335,0.00532,1,-31.646,1,0.0376,0.994,0.912,0.0621,0.0397,65.832,audio_features,5u5aVJKjSMJr4zesMPz7bL,spotify:track:5u5aVJKjSMJr4zesMPz7bL,https://api.spotify.com/v1/tracks/5u5aVJKjSMJr4zesMPz7bL,https://api.spotify.com/v1/audio-analysis/5u5aVJKjSMJr4zesMPz7bL,268000,4,Stiafen
20,0.328,0.00278,10,-38.801,1,0.0566,0.995,0.868,0.105,0.194,75.387,audio_features,76wV53YHl0tGEvT3L0QzvK,spotify:track:76wV53YHl0tGEvT3L0QzvK,https://api.spotify.com/v1/tracks/76wV53YHl0tGEvT3L0QzvK,https://api.spotify.com/v1/audio-analysis/76wV53YHl0tGEvT3L0QzvK,85907,1,Stiafen
